Jitter,Country name,Regional indicator,Ladder score
0.0,Finland,Western Europe,7.842
-0.1,Denmark,Western Europe,7.62
-0.1,Switzerland,Western Europe,7.571
-0.1,Iceland,Western Europe,7.554
0.1,Netherlands,Western Europe,7.464
-0.1,Norway,Western Europe,7.392
0.0,Sweden,Western Europe,7.363
0.1,Luxembourg,Western Europe,7.324
1.0,New Zealand,North America and ANZ,7.277
0.2,Austria,Western Europe,7.268
1.0,Australia,North America and ANZ,7.183
2.0,Israel,Middle East and North Africa,7.157
0.0,Germany,Western Europe,7.155
0.9,Canada,North America and ANZ,7.103
0.2,Ireland,Western Europe,7.085
2.9,Costa Rica,Latin America and Caribbean,7.069
0.0,United Kingdom,Western Europe,7.064
4.1,Czech Republic,Central and Eastern Europe,6.965
0.9,United States of America,North America and ANZ,6.951
0.1,Belgium,Western Europe,6.834
0.1,France,Western Europe,6.69
1.9,Bahrain,Middle East and North Africa,6.647
0.2,Malta,Western Europe,6.602
5.0,Taiwan,East Asia,6.584
2.1,United Arab Emirates,Middle East and North Africa,6.561
2.0,Saudi Arabia,Middle East and North Africa,6.494
0.0,Spain,Western Europe,6.491
-0.1,Italy,Western Europe,6.483
3.8,Slovenia,Central and Eastern Europe,6.461
2.9,Guatemala,Latin America and Caribbean,6.435
3.2,Uruguay,Latin America and Caribbean,6.431
6.0,Singapore,Southeast Asia,6.377
4.0,Kosovo,Central and Eastern Europe,6.372
4.2,Slovakia,Central and Eastern Europe,6.331
3.0,Brazil,Latin America and Caribbean,6.33
3.2,Mexico,Latin America and Caribbean,6.317
2.9,Jamaica,Latin America and Caribbean,6.309
3.9,Lithuania,Central and Eastern Europe,6.255
0.2,Cyprus,Western Europe,6.223
3.9,Estonia,Central and Eastern Europe,6.189
3.1,Panama,Latin America and Caribbean,6.18
7.0,Uzbekistan,Commonwealth of Independent States,6.179
3.2,Chile,Latin America and Caribbean,6.172
4.2,Poland,Central and Eastern Europe,6.166
7.1,Kazakhstan,Commonwealth of Independent States,6.152
3.8,Romania,Central and Eastern Europe,6.14
1.8,Kuwait,Middle East and North Africa,6.106
4.0,Serbia,Central and Eastern Europe,6.078
3.1,El Salvador,Latin America and Caribbean,6.061
7.8,Mauritius,Sub-Saharan Africa,6.049
4.0,Latvia,Central and Eastern Europe,6.032
2.8,Colombia,Latin America and Caribbean,6.012
3.9,Hungary,Central and Eastern Europe,5.992
5.8,Thailand,Southeast Asia,5.985
2.9,Nicaragua,Latin America and Caribbean,5.972
5.0,Japan,East Asia,5.94
2.9,Argentina,Latin America and Caribbean,5.929
0.1,Portugal,Western Europe,5.929
2.8,Honduras,Latin America and Caribbean,5.919
3.9,Croatia,Central and Eastern Europe,5.882
5.9,Philippines,Southeast Asia,5.88
5.0,South Korea,East Asia,5.845
3.1,Peru,Latin America and Caribbean,5.84
3.9,Bosnia and Herzegovina,Central and Eastern Europe,5.813
7.1,Moldova,Commonwealth of Independent States,5.766
3.2,Ecuador,Latin America and Caribbean,5.764
6.9,Kyrgyzstan,Commonwealth of Independent States,5.744
0.1,Greece,Western Europe,5.723
3.0,Bolivia,Latin America and Caribbean,5.716
5.1,Mongolia,East Asia,5.677
3.0,Paraguay,Latin America and Caribbean,5.653
4.0,Montenegro,Central and Eastern Europe,5.581
2.8,Dominican Republic,Latin America and Caribbean,5.545
-0.1,North Cyprus,Western Europe,5.536
6.9,Belarus,Commonwealth of Independent States,5.534
6.9,Russia,Commonwealth of Independent States,5.477
4.9,Hong Kong S.A.R. of China,East Asia,5.477
6.9,Tajikistan,Commonwealth of Independent States,5.466
6.0,Vietnam,Southeast Asia,5.411
2.1,Libya,Middle East and North Africa,5.41
6.1,Malaysia,Southeast Asia,5.384
6.1,Indonesia,Southeast Asia,5.345
7.8,Congo,Sub-Saharan Africa,5.342
5.1,China,East Asia,5.339
7.9,Ivory Coast,Sub-Saharan Africa,5.306
6.8,Armenia,Commonwealth of Independent States,5.283
8.9,Nepal,South Asia,5.269
4.0,Bulgaria,Central and Eastern Europe,5.266
8.8,Maldives,South Asia,5.198
6.9,Azerbaijan,Commonwealth of Independent States,5.171
8.0,Cameroon,Sub-Saharan Africa,5.142
8.1,Senegal,Sub-Saharan Africa,5.132
4.0,Albania,Central and Eastern Europe,5.117
4.0,North Macedonia,Central and Eastern Europe,5.101
7.9,Ghana,Sub-Saharan Africa,5.088
7.8,Niger,Sub-Saharan Africa,5.074
7.2,Turkmenistan,Commonwealth of Independent States,5.066
8.2,Gambia,Sub-Saharan Africa,5.051
8.1,Benin,Sub-Saharan Africa,5.045
6.0,Laos,Southeast Asia,5.03
9.0,Bangladesh,South Asia,5.025
7.9,Guinea,Sub-Saharan Africa,4.984
8.1,South Africa,Sub-Saharan Africa,4.956
2.1,Turkey,Middle East and North Africa,4.948
8.9,Pakistan,South Asia,4.934
2.1,Morocco,Middle East and North Africa,4.918
3.1,Venezuela,Latin America and Caribbean,4.892
6.9,Georgia,Commonwealth of Independent States,4.891
2.1,Algeria,Middle East and North Africa,4.887
7.1,Ukraine,Commonwealth of Independent States,4.875
1.9,Iraq,Middle East and North Africa,4.854
7.9,Gabon,Sub-Saharan Africa,4.852
8.1,Burkina Faso,Sub-Saharan Africa,4.834
5.8,Cambodia,Southeast Asia,4.83
8.0,Mozambique,Sub-Saharan Africa,4.794
8.2,Nigeria,Sub-Saharan Africa,4.759
7.9,Mali,Sub-Saharan Africa,4.723
2.0,Iran,Middle East and North Africa,4.721
8.2,Uganda,Sub-Saharan Africa,4.636
8.1,Liberia,Sub-Saharan Africa,4.625
8.1,Kenya,Sub-Saharan Africa,4.607
2.0,Tunisia,Middle East and North Africa,4.596
2.2,Lebanon,Middle East and North Africa,4.584
7.9,Namibia,Sub-Saharan Africa,4.574
2.2,Palestine,Middle East and North Africa,4.517
6.0,Myanmar,Southeast Asia,4.426
2.1,Jordan,Middle East and North Africa,4.395
8.0,Chad,Sub-Saharan Africa,4.355
8.9,Sri Lanka,South Asia,4.325
8.1,Swaziland,Sub-Saharan Africa,4.308
8.0,Comoros,Sub-Saharan Africa,4.289
